file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,53,css,00000000,Not Committed Yet,2026-05-22,21:07:07,-07:00,2026-05-22T21:07:07-07:00,0,9
style.css,54,css,b452fbe6,dsmfeg,2026-04-11,20:37:06,-07:00,2026-04-11T20:37:06-07:00,1,12
style.css,55,css,b452fbe6,dsmfeg,2026-04-11,20:37:06,-07:00,2026-04-11T20:37:06-07:00,1,58
style.css,56,css,ced6f1aa,dsmfeg,2026-04-11,20:51:21,-07:00,2026-04-11T20:51:21-07:00,0,0
style.css,57,css,00000000,Not Committed Yet,2026-05-22,21:07:07,-07:00,2026-05-22T21:07:07-07:00,1,7
style.css,58,css,ced6f1aa,dsmfeg,2026-04-11,20:51:21,-07:00,2026-04-11T20:51:21-07:00,2,26
style.css,59,css,ced6f1aa,dsmfeg,2026-04-11,20:51:21,-07:00,2026-04-11T20:51:21-07:00,2,15
style.css,60,css,ced6f1aa,dsmfeg,2026-04-11,20:51:21,-07:00,2026-04-11T20:51:21-07:00,2,7
style.css,61,css,ced6f1aa,dsmfeg,2026-04-11,20:51:21,-07:00,2026-04-11T20:51:21-07:00,2,15
style.css,62,css,ced6f1aa,dsmfeg,2026-04-11,20:51:21,-07:00,2026-04-11T20:51:21-07:00,2,16
style.css,63,css,ced6f1aa,dsmfeg,2026-04-11,20:51:21,-07:00,2026-04-11T20:51:21-07:00,1,0
style.css,64,css,ced6f1aa,dsmfeg,2026-04-11,20:51:21,-07:00,2026-04-11T20:51:21-07:00,0,0
style.css,65,css,00000000,Not Committed Yet,2026-05-22,21:07:07,-07:00,2026-05-22T21:07:07-07:00,1,15
style.css,66,css,00000000,Not Committed Yet,2026-05-22,21:07:07,-07:00,2026-05-22T21:07:07-07:00,0,0
style.css,67,css,a1908b6d,dsmfeg,2026-04-25,22:01:13,-07:00,2026-04-25T22:01:13-07:00,1,3
style.css,68,css,a1908b6d,dsmfeg,2026-04-25,22:01:13,-07:00,2026-04-25T22:01:13-07:00,2,11
style.css,69,css,a1908b6d,dsmfeg,2026-04-25,22:01:13,-07:00,2026-04-25T22:01:13-07:00,2,12
style.css,70,css,a1908b6d,dsmfeg,2026-04-25,22:01:13,-07:00,2026-04-25T22:01:13-07:00,2,16
style.css,71,css,a1908b6d,dsmfeg,2026-04-25,22:01:13,-07:00,2026-04-25T22:01:13-07:00,1,0
style.css,72,css,b452fbe6,dsmfeg,2026-04-11,20:37:06,-07:00,2026-04-11T20:37:06-07:00,0,0
style.css,73,css,b452fbe6,dsmfeg,2026-04-11,20:37:06,-07:00,2026-04-11T20:37:06-07:00,0,0
style.css,74,css,00000000,Not Committed Yet,2026-05-22,21:07:07,-07:00,2026-05-22T21:07:07-07:00,0,13
style.css,75,css,00000000,Not Committed Yet,2026-05-22,21:07:07,-07:00,2026-05-22T21:07:07-07:00,1,16
style.css,76,css,00000000,Not Committed Yet,2026-05-22,21:07:07,-07:00,2026-05-22T21:07:07-07:00,1,21
style.css,77,css,bc224a01,dsmfeg,2026-04-18,21:53:01,-07:00,2026-04-18T21:53:01-07:00,0,0
style.css,78,css,bc224a01,dsmfeg,2026-04-18,21:53:01,-07:00,2026-04-18T21:53:01-07:00,0,0
style.css,79,css,00000000,Not Committed Yet,2026-05-22,21:07:07,-07:00,2026-05-22T21:07:07-07:00,0,66
style.css,80,css,00000000,Not Committed Yet,2026-05-22,21:07:07,-07:00,2026-05-22T21:07:07-07:00,0,0
style.css,81,css,00000000,Not Committed Yet,2026-05-22,21:07:07,-07:00,2026-05-22T21:07:07-07:00,0,30
style.css,82,css,00000000,Not Committed Yet,2026-05-22,21:07:07,-07:00,2026-05-22T21:07:07-07:00,0,0
style.css,83,css,00000000,Not Committed Yet,2026-05-22,21:07:07,-07:00,2026-05-22T21:07:07-07:00,0,66
style.css,84,css,00000000,Not Committed Yet,2026-05-22,21:07:07,-07:00,2026-05-22T21:07:07-07:00,0,0
style.css,85,css,00000000,Not Committed Yet,2026-05-22,21:07:07,-07:00,2026-05-22T21:07:07-07:00,0,13
style.css,86,css,bc224a01,dsmfeg,2026-04-18,21:53:01,-07:00,2026-04-18T21:53:01-07:00,1,17
style.css,87,css,bc224a01,dsmfeg,2026-04-18,21:53:01,-07:00,2026-04-18T21:53:01-07:00,1,8
style.css,88,css,bc224a01,dsmfeg,2026-04-18,21:53:01,-07:00,2026-04-18T21:53:01-07:00,1,13
style.css,89,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,0,0
style.css,90,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,0,0
style.css,91,css,00000000,Not Committed Yet,2026-05-22,21:07:07,-07:00,2026-05-22T21:07:07-07:00,0,66
style.css,92,css,00000000,Not Committed Yet,2026-05-22,21:07:07,-07:00,2026-05-22T21:07:07-07:00,0,0
style.css,93,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,0,18
style.css,94,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,1,14
style.css,95,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,1,16
style.css,96,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,1,16
style.css,97,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,0,0
style.css,98,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,0,0
style.css,99,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,0,10
style.css,100,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,1,12
style.css,101,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,1,18
style.css,102,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,1,7
style.css,103,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,0,0
style.css,104,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,0,0
style.css,105,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,0,7
style.css,106,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,1,6
style.css,107,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,1,12
style.css,108,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,1,57
style.css,109,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,1,57
style.css,110,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,1,57
style.css,111,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,0,0
style.css,112,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,0,0
style.css,113,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,0,10
style.css,114,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,1,12
style.css,115,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,1,18
style.css,116,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,1,9
style.css,117,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,1,13
style.css,118,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,0,0
style.css,119,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,0,0
style.css,120,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,0,7
style.css,121,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,1,9
style.css,122,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,1,18
style.css,123,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,1,29
style.css,124,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,1,17
style.css,125,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,1,20
style.css,126,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,0,0
style.css,127,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,0,0
style.css,128,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,0,4
style.css,129,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,1,14
style.css,130,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,1,16
style.css,131,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,0,0
style.css,132,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,0,0
style.css,133,css,00000000,Not Committed Yet,2026-05-22,21:07:07,-07:00,2026-05-22T21:07:07-07:00,0,52
style.css,134,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,0,0
style.css,135,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,0,9
style.css,136,css,f806443c,dsmfeg,2026-05-01,23:41:19,-07:00,2026-05-01T23:41:19-07:00,1,35
style.css,137,css,00000000,Not Committed Yet,2026-05-22,21:07:07,-07:00,2026-05-22T21:07:07-07:00,1,32
